English Term,POS Tags,Sanskrit Terms
admonish,v. a.,{#pradiS/(/upadiS/pratyAdiS/prabuD/sambuD/(/samAvid/(/Sikz/(Sikzayati/vijYA/(/mantr/mantrayati/nidraS/(#}
admonished,p. p.,{#pratyAdizwaH/upadizwaH/boDitaH#}
admonisher,s.,{#upadeSakaH/pratyAdeSakaH/praboDakaH/anuyogakArI/anuyojakaH/SikzAdAtA/SikzakaH#}
admonition,s.,{#upadeSaH/pratyAdeSaH/mantraRaM/praboDanaM/praboDaH/SikzA/anuyogaH#}
admonitory,a.,{#upadeSakaH/SikzakaH/boDakaraH/anujYApakaH#}
ado,s.,{#duHKaM/kazwaM/SramaH/tumulaM/kalahaH/kolAhalaH#}
adolescence,s.,{#yOvanaM/kOmAraM/yOvanAvasTA#}
adopt,v. a.,{#grah/gfhlAti/grahItuM/AtmasAtkf#}
adopted,p. p.,{#gfhItaH/AtmasAtkftaH/pozpaputraH/kftrimaputraH/dattakaputraH/dattrimaputraH/kftrimaH/kftakaH#}
adopter,s.,{#kftrimaputrakArI#}
adoption,s.,{#kftrimaputrakaraRaM/pozyaputrakaraRaM/grahaRaM/AtmasAtkaraRaM#}
adorable,a.,{#pUjyaH/arccanIyaH/BagavAn#}
adoration,s.,{#pUjA/arccA/aByarcanaM/BajanaM/namaskAraH/namasyA#}
adore,v. a.,{#namasy/namasyati/pUj/pUjayati/arc/arcati/arcituM/aByarc/samarc/namaskf/saBAj/saBAjayati/varivasy/varivasyati#}
adored,p. p.,{#pUjitaH/namaskftaH/arcitaH#}
adorer,s.,{#pUjakaH/arccakaH/BaktaH/namaskarttA/rttf#}
adorn,v. a.,{#BUz/BUzati/BUzituM/BUzayati/viBUz/alaNkf/parizkf/(SoBayati/maRqayati#}
adorned,p. p.,{#alaNkftaH/BUzitaH/upaSoBitaH/maRqitaH#}
adorning,s.,{#alaNkAraH/alaNkiyA/BUzaRaM#}
adrift,adv.,{#itastataH plavamAnaH#}
adroit,a.,{#nipuRaH/dakzaH/caturaH/laGuH#}
adroitly,adv.,{#sadAkzyaM/caturaM/nEpuRyena#}
adroitness,s.,{#nEpuRyaM/dAkzyaM/cAturyyaM/lAGavaM#}
adry,a.,{#SuzkaH/tfzitaH/tfzArttaH#}
adulation,s.,{#atipraSaMsA/miTyApraSaMsA/cAwukAraH/cAwUktiH/SlAGA/anunayaH/stutiH#}
adulatory,s.,{#atipraSaMsakaH/atipraSaMsAyuktaH/SlAGAnvitaH/anunayI#}
adult,s.,{#prOQaH/pravfdDaH/udgataH/mAnuzpaprAptaH/dfhitaH#}
adulterate,v. a.,{#duz/(dUzayati/miSr/miSrayati/aSudDIkf/apavitrIkf#}
adulterate,p. p.,{#dUzitaH/aSudDIkftaH/miSraH/saMsfzwarUpaH#}
adulteration,s.,{#dUzaRaM/aSudDIkaraRaM/miSraRaM#}
adulterer,s.,{#pAradArikaH/paradAragAmI/vyaBicArI/pArajAyikaH#}
adulteress,s.,{#banDakI/vyaBicAriRI/aBisArikA#}
adulterine,s.,{#jArajaH#}
adulterous,s.,{#vyaBicArI/duzwaH/aSudDaH#}
adultery,s.,{#pAradAryyaM/paradAragamanaM/parakalatrABigamanaM/BAryyAtikramaH/vyaBicAraH/vyuccar#}
adumbrate,v. a.,{##}
adumbration,s.,{#pratiCAyA/prativimbaM/pratiCAyAkaraRaM/pARquleKyakaraRaM/pARquleKyaM/pARqulipiH/citrAramBaH#}
aduncity,s.,{#vakratA/jEhmyaM/vijihmatA/anfjutA#}
advance,v. n.,{#prayA/pragam/prasTA/cal/pracal/prasf/prasfp/kram/kramate/kramituM/vfD#}
advance,v. a.,{#AnI/praRI/puraskf;/vfD/varDayati/tvar/tvarayati#}
advance,s.,{#pragamanaM/prayARaM/agragamanaM/agrasaraRaM/AgamaH/vardDanaM/uttarottaravardDanaM#}
advanced,p. p.,{#AnItaH/varDitaH/kftAgamaH/gatAyUH/s/z/pravayAH#}
advancement,s.,{#pragamanaM/vardDanaM/samunnatiH/unnatiH/uccapadaprAptiH/vidyAgamaH#}
advantage,s.,{#PalaM/lABaH/arTaH/prADAnyaM/ADikyaM/avasaraH/avakASaH;/AtmavivfdDaye/suveSI#}
advantage,v. a.,{#upakf/upacar/upagrah/PalaM#}
advantageous,a.,{#PalI/PaladaH/saPalaH/arTaSIlaH/arTayuktaH/arTakaraH/laBanIyaH#}
advantageously,adv.,{#lABena/saPalaM/salABaM/sarTaM/sAvakASaM#}
advantageousness,s.,{#saPalatvaM/laByatA/PalitvaM#}
advent,s.,{#AgamanaM/KfzwAgamanaM#}
adventitious,a.,{#AgantukaH/AhAryyaH/AhAryyaSoBA#}
adventure,s.,{#caritraM/vfttAntaH/cezwitaM/caritaM/GawanaM/dEvaGawanaM#}
adventure,v. n.,{##}
adventurer,s.,{#sandigDakarmmarataH/sandigDakAryyapravfttaH/kaWinakarmmavyava/sAyI/n#}
adventurous,a.,{#sAhasikaH/nirBayaH/pragalBaH/BayayuktaH/BayAvahaH/sandigDaH/adfzwaH#}
adventurously,adv.,{#sAhasena/DfzwaM/pragalBaM/nirBayaM#}
adverb,s.,{#kriyAviSezaRaM/avyayaSavdaH#}
adverbial,a.,{#kriyAviSezakaH/avyayaH/kriyAviSezaRa/sambanDI#}
adverbially,adv.,{#kriyAviSezaRavat/avyayaBAve#}
adversary,s.,{#vErI/SatruH/ariH/vipakzaH/sapatnaH#}
adverse,a.,{#pratikUlaH/virudDaH/vErI/pratiGaH/pratiGAtI/vipakzaH#}
adversity,s.,{#vipat/(/Apat/(/vipattiH/vipatkAlaH/apacayaH#}
advert,v. n.,{#yojayati/Alakz/samIkz/avaDAnaM#}
advertence,s.,{#avaDAnaM/manoyogaH/avekzA#}
advertise,v. a.,{#jYA/(jYApayati/(/(boDayati/sUcayati/prakAS/(/(#}
advertisement,s.,{#sUcanaM/boDanaM/praboDanaM/upadeSaH/saMvAdaH/samAcAraH/saMvAdapatraM#}
advertiser,s.,{#saMvAdakaH/jYApakaH/prakASakaH/samAcArapatraM#}
advice,s.,{#upadeSaH/mantraH/AdeSaH/mantraRaM/AmarSaH/pratyavamarSaH/boDanaM/saMvAdaH/samAcAraH#}
advice-boat,s.,{#nOkA#}
advisable,a.,{#ucitaH/yogyaH/yuktaH/upadezwavyaH/upadeSagrAhI#}
advise,v. a.,{#upadiS/Sikz/(Sikzayati/anuSAs/jYA/(jYApayati/nivid/(/buD/boDayati#}
advise,v. n.,{#mantr/mantrayate/vicar#}
advised,,{#upadizwaH/jYApitaH/niveditaH#}
advisedly,adv.,{#mantratas/avaDAnatas/avaDAnapuraHsaraM/sAvaDAnaM/jYAnatas/aBiprAyeRa#}
adviser,s.,{#upadeSakaH/upadezwA/upadeSI/AdeSI/mantrI/amAtyaH/sacivaH/mantA/ntf#}
advocate,s.,{#uttaravAdI/parArTaM/prativAdI/pratiniDiH/pratipAlakaH/rakzakaH/ASrayaH#}
advocate,v. a.,{#rakz/parirakz#}
advowee,s.,{#DarmmADyApane#}
advowson,s.,{#DarmmADyApane/niyojanADikAraH#}
adze,s.,{#takzaRI/kuWArikA/vAmiH#}
aerial,a.,{#AkASIyaH/vAyavaH/vEhAyasaH/AkASajaH/vAyujaH/vAyugaH/AkASasTaH/KecaraH/naBaHsTaH/uccaH#}
aerie,s.,{#SyenanIqaH/SakuninIqaH#}
aerology,s.,{#AkASavidyA/vAyuvidyA#}
aeronaut,s.,{#AkASagAmI/AkASacaraH#}
aether,s.,{#AkASaH/vAyuH/naBaH/vihAyaH/s#}
afar,adv.,{#dUraM/dUre/atidUraM/dUratas/dUraparyyantaM/dUratas/dUrAt/dUrasTaH#}
affability,a.,{#mfduSIlatvaM/suSIlatvaM/aBigamyatA/cAwUktiH/komalatvaM/mfdutA#}
affable,a.,{#mfduSIlaH/komalasvaBAvaH/suSIlaH/aBigamyaH/mfduH/cAwuvAdI/priyavAdI#}
affably,adv.,{#mfdu/mfduvacanena/cAwUktyA/mfdutayA/mfdujanavat#}
affair,s.,{#kAryyaM/karmma/vyApAraH/vizayaH/arTaH#}
affect,v. a.,{#sev/samAcar/Baj/Bajate/BaktuM/vikf/upahan/cal/cAlayati/SokopahataM/harzAkulaM/Cadma/man/mAnayate/paRqitammanyaH#}
affectation,s.,{#ahaNkAraH/vElakzyaM/paRqitammanyatvaM/avahitTaM/ntTA/vilAsaH/hAvaH/upaDA/CalaM/Cadma/n#}
affected,,{#kftrimaH/miTyopacAraH/savElakzyaH/ahaNkArI/mAnI/vilAsavAn/upahataH/AkulaH/grastaH/raYjitaH#}
ffectedly,adv.,{#vElakzyeRa/sAhaNkAraM/ahaNkAreRa#}
affecting,a.,{#hfdayaNgamaH/marmmaBedI#}
affection,s.,{#snehaH/priyatA/anuraktiH/anurAgaH/praRayaH/premA/(/hArddaM/praSrayaH/rAgaH/BAvaH/rasaH/vAtsalyaM;#}
affectionate,a.,{#snehI/snigDaH/snehaSIlaH/suhfttamaH/anurAgI/prItimAn/vatsalaH/hitaH/praRayI/sapraRayaH/jAtahArddaH#}
affectionately,adv.,{#snehena/prItyA/prItipUrvvaM/snehapuraHsaraM/sAnurAgaM#}
affiance,s.,{#vAgdAnaM/vivAhasambanDaH/viSvAsaH/pratyayaH/SradDA/AsTA#}
affiance,v. a.,{#viSvas#}
affianced,p. p.,{#vAgdattaH#}
affidavit,s.,{#SapaTapatraM/taTeti/brU#}
affiliation,s.,{#kftrimaputrakaraRaM/pIzyaputragrahaRaM#}
affinity,s.,{#sambanDaH/samparkaH/yogaH/jYAtitvaM/banDutA#}
affirm,v. n.,{#bravIti/brUte/vaktuM/vadati/vadituM/sTirIkf/dfQIkf/niScitaM/saMstamB/pramARIkf#}
affirmation,s.,{#dfQoktiH/vacanaM/dfQavacanaM/pakzaH/pramARIkaraRaM/niScayaH/dfQIkaraRaM/sTirIkaraRaM/vipralApaH#}
affirmative,a.,{#vAdI/niScA/yakaH/pakzAnukUlaH#}
affix,v. a.,{#anuvanD/nibanD/Ayuj/upayuj#}
affix,s.,{#anubanDaH/prayogaH/AptoktiH#}
afflict,v. a.,{#kliS/klezwuM/pIq/pIqayati/aBipIq/upapIq/Ayas/pIqyate/bAD#}
afflicted,p. p.,{#vyasanArttaH/durgataH/ApadgrastaH/ApannaH/pIqitaH/AturaH/ArttaH/rogapIqitaH#}
affliction,s.,{#kleSaH/SokaH/duHKaM/kazwaM/vyaTA/pIqA/viqambanA#}
afflictive,a.,{#kleSakaH/kleSI/duHKakaraH/vyaTAkaraH#}
affluence,s.,{#DanabAhulyaM/DanasampattiH/DanitvaM/samfdDiH/samfdDatA/ekasTAnaM#}
affluent,a.,{#mahADanaH/bahuDanaH/DanI/Dana/vAn/samfdDaH/vasumAn/DanAQyaH/ekasTAnaM prati pravAhakaH#}
afflux,s.,{##}
afford,v. a.,{#dA/dadAti/prAdA/aBidA/vyayaM karttuM samarTaH/Sak/Saknoti/SaktuM#}
affranchise,v. a.,{#muc/mocayati/mokzayati/vimukz#}
affray,s.,{#saNgAmaH/samaraH/saMyugaH/yudDaM/kalahaH/qimbaH/qamaraH/qAmaraH#}
affright,v. a.,{#tras/(trAsayati/BAyayati/BIzayati/udvij#}
affright,s.,{#trAsaH/santrAsaH/sADvasaM/BayaM#}
affrightedly,adv.,{#satrAsaM/saBayaM/santrAsena#}
affront,s.,{#apamAnaM/bipriyaM/kzepaH/avajYAnaM/DarzaRaM/tiraskAraH#}
affront,v. a.,{#sAkzAt/sammuKaM/pratimuKaM/muKAmuKi/avajYA/tiraskf/Akzar/(/aDikzip/avakzip/parikzip#}
affronted,p. p.,{#apamAnitaH/avajYAtaH/tiraskftaH/aDikziptaH#}
affronter,s.,{#sAkzAt/avajYAnakarttA/rttf#}
affrontive,a.,{#apamAnakaH/apamAnopetaH/avajYAnayuktaH#}
affusion,s.,{#AsekaH/AsecanaM/aBizekaH#}
affy,v. a.,{##}
afloat,adv.,{#plavamAnaH/plavaH#}
afoot,adv.,{#pAdena/padena/pAdagaH/pracalaH/pracalitaH/pracaritaH/ArabDaH/udyataH#}
afore,prep.,{#pratimuKaM/aBimuKaM/sammuKaM/agre/puras/puratas/sAkzAt/pUrvvakAle/gatakAle/pUrvvaM/pUrvvasamaye/purA#}
aforesaid,p. p.,{#pUrvvoktaH/pUrvvoditaH/prAguktaH#}
aforetime,adv.,{#pUrvvakAle/gatakAle/purA/pUrvvaM#}
afraid,a.,{#BItaH/BayAnvitaH/SaNkAnvitaH/BI/kukkurAt/tras/udvij#}
afresh,adv.,{#punar/punarapi/nUtanaM/aBinavaM/pratinavaM#}
aft,s.,{##}
aft,adv.,{##}
after,prep.,{#anu/paScAt/anugantuM;/paScAt/paraM/anantaraM/UrdDvaM/arvAk/anu/anurUpaM/anusAratas/anurUpeRa/anusAreRa;/tadanantare/tadanantaraM/tasmAt/paraM/anupUrvvaSas;/BojanAnantaraM/pUrvvakaM;/paRasTApanapUrvvakaM;#}
after,adv.,{#paraM/parakAle/AgAmikAle/uttarakAle/paScAt/parastAt/uttaratra/uttaratas#}
after-ages,s.,{#uttarakAlaH/parakAlaH/AgAmikAlaH/BAvikAlaH/putrapOtrAH#}
after all,,{#antatas/ante/paraM/Seze/avaSeze#}
after-birth,s.,{#garBaparisravaH#}
after-comer,s.,{#uttarAgAmI/uttarakAle#}
after-crop,s.,{#dvitIyotpattiH/Palasya/dvitIyasaNgrahaH#}
after-dinner,s.,{#BojanAnantaraM/BojanottaraM#}
after-endeavour,s.,{#uttarodyogaH/dvitIyayatnaH#}
after-game,s.,{#uttaropAyaH#}
after-grass,s.,{#dvitIyatfRaM/dvitIyatfRotpattiH#}
after-inquiry,s.,{#uttarAnusanDAnaM/uttarajijYAsA#}
after-life,s.,{#jIvanAvaSezaH#}
afternoon,s.,{#apaKahlaH/parAhlaM/vEkAlaH/vikAlaH/AparAhlikaH/vEkAlikaH#}
after-pains,s.,{#anutApaH/uttaravyaTA#}
after-state,s.,{#parAvasTA/uttarAvasTA/BAvyavasTA#}
after-taste,s.,{#uttarasvAdaH/anusvAdaH#}
after-thought,s.,{#anuboDaH/uttaracintA#}
after-times,s.,{#uttarakAlaH/parakAlaH/AgAmikAlaH/putrapOtrAH#}
afterwards,s.,{#paScAt/tatpaScAt/tadanantaraM/anantaraM/paraM/aparaM/parastAt/uttaratas/tatas#}
again,adv.,{#punar/punarapi/BUyas/anyacca/kiYca/itaram/anyapakze/punar/muhus/punaHpunar/asakft/vAraMvAraM/aNgaM/dviguRaH/prati/prati#}
against,prep.,{#prati/aBi/virudDaH/pratikUlaH/vipakzaH/aBimuKaM/pratimuKaM/sammuKaM;/prativAtaM/vAtABimuKaM;/pratisotas/arTe/arTaM#}
agape,adv.,{#jfmBamARaH/vismayotPullanayanaH/PullalocanaH#}
agaric,s.,{#tarurohI/OzaDIyaCatrAkaviSezaH#}
agastya,s.,{#agastyaH/mEtrAvAruRiH#}
agate,s.,{#ratnaviSezaH#}
age,s.,{#yugaM/kAlaH/samayaH/AyuH/jIvitakAlaH/vayaH/s/kalpaH/vfdDatvaM/vArdDakaM/vfdDaBAvaH;/vyavahAraprAptaH/vyavahArajYaH;/samAnavayaskaH#}
aged,a.,{#vfdDaH/jIrRaH/prAcInaH/vayogataH/AyuzaH#}
agency,s.,{#karttftvaM/karttfkatvaM/kAraRatvaM/hetutA/kAraRaM;/pOruzeyatvaM/niyogipadaM/niyogitvaM#}
agent,s.,{#karttA/karttfkaH/kAraH/kArakaH/karaH/niyogI/pratipuruzaH/kAryyADISaH/pratiniDiH/hetukaH/hetuH/kAraRaM/sADanaM#}
agglomerate,v. a.,{#saYci/samAci/upaci;/samAkzip#}
agglomerated,p. p.,{#saYcitaH/upacitaH/rASIkftaH#}
agglutinate,v. n.,{#saMSliz/(/saMyuj/saMhan/saMlagnaM#}
aggrandise,v. a.,{#vfD/(varDayati/saMvfD/eD/(eDayati/ApyE/sPAy/sPAvayati/pracurIkf/sPItIkf/tan#}
aggrandisement,s.,{#vfdDiH/vardDanaM/vivfdDiH/unnatiH/samunnatiH/upacayaH/sPAtiH/aByudayaH;/AtmavivfdDaye/AtmodayAy#}
aggravate,v. a.,{#vfG/(varGayati/aDikaM/atiriktaM/garay/garayati/prakup/(/prapIq#}
aggravated,p. p.,{#varDitaH/prakopitaH#}
aggravation,s.,{#prakopaRaM/pIqanaM/pIqAkaraRaM/saMvardDanaM/vardDanaM/uddIpanaM/anupaSayaH/ADikyaM#}
aggregate,s.,{#samUhaH/saYcayaH/sannipAtaH/samavAyaH/saNgrahaH/rASiH/puYjaH#}
aggregate,v. a.,{#samAkzip/saYci/samAci/rASIkf#}
aggregated,p. p.,{#saYcitaH/upacitaH/rASIkftaH/samavAyI#}
aggregation,s.,{#samAhAraH/rASIkaraRaM/saYcayanaM/saNgrahaRaM/samUhaH/sannipAtaH/saNgrahaH#}
aggress,v. a.,{#Akram/atikram;/laNG/laNGayati/hiMsAramBaM#}
aggression,s.,{#AkramaH/atikramaH/laNGanaM/hiMsAramBaH/apakArAramBaH/praTamApakAraH/AkramAramBaH#}
aggressor,s.,{#AkrAmakaH/atikrAmakaH/drohI/praTamApakArakaraH#}
aggrievance,s.,{#hiMsA/apakAraH/drohaH/kleSaH/duHKaM/vyaTA#}
aggrieve,v. a.,{#duHK/duHKayati/Suc/(Socayati/kliS/vyaT/ard/(ardayati/samard/hiMs/hiMsati/hinasti/hiMsituM#}
aghast,,{#vismayAkulaH/BayavyAkulaH/BayamohitaH/sADvasopahataH#}
agile,a.,{#laGuH/tvaritaH/caYcalaH/dratasvaBAvaH/laGuSarIraH#}
agility,s.,{#laGutA/drutatvaM/caYcalatvaM/laGuSarIratA#}
agillochum,s.,{#aguruH/agurukAzWaM#}
agistment,s.,{#setuH#}
acitable,a.,{#kzoBaRIyaH/manTanIyaH/cAlanIyaH#}
agitate,v. a.,{#kzuB/(kzoBayati/GUnoti/DotuM/manTati/hvalayati/hvAlayati/gAh/gAQuM/luq/loqayati/Aluq/samAluq/pariluq/viluq/saMluq/kzuB/vihval#}
agitated,p. p.,{#kzubDaH/DUtaH/AkulitaH/pramaTitaH/udBrAntaH/samBrAntaH/vihvalaH/viduraH/lulitaH/kAtaraH/pAriplavaH/viklavaH#}
agitation,s.,{#kzoBaH/manTanaM/unmanTanaM/AloqanaM/viDuvanaM/davaTuH/vyAkulatvaM/utkampaH/vAdAnuvAdaH/vicAraRaM#}
agitator,s.,{#kzoBakaH/unmanTakaH/maTanakArI/n/kAryyADISaH/kAryyADizWAtA/nAyakaH#}
agnail,s.,{#naKarogaH/cipyaM/naKampacaH#}
agnate,a.,{#sambanDI/samparkIyaH#}
agnation,s.,{#jYAtitvaM/banDutvaM/sambanDaH/samparkaH#}
ago,adv.,{#purA/pUrvvaM/pUrvvakAle/gatakAle/purastAt#}
agog,adv.,{#kutUhalI/kOtukAkulaH/anyaTAvfttiH#}
agoing,part.,{#calaH/pracalaH/pracalitaH/pracaritaH#}
agonise,v. n.,{#vyaT/paritaz/(/santap#}
agony,s.,{#tIvravedanA/ativyaTA/vyaTA/antastApaH/vibADA/duHKaduHKaM/yantraM#}
agrarian,a.,{#kzetravizayakaH/kzetrikaH/BUmivizayakaH#}
agree,v. n.,{#samman/sammataH/svIkf/aNgIkf/anuman/anuvad/grah/upagam/sanDA/ekacittIBU/ekamataH/yuj/yujyate#}
agree,v. a.,{#sanDA/sammataM/saMviditaM#}
agreeable,a.,{#ramyaH/kAmyaH/suBagaH;/aBimataH/manojYaH/santozakaH/tuzwikaraH/anurUpaH/upayuktaH/yogyaH/sadfSaH/tulyaH/ruc/rocate/rocituM#}
agreeableness,s.,{#yogyatA/upayuktatA/anurUpatA/sAdfSyaM/ramyatvaM/kAmyatvaM/aBimatatA/tulyatA/sadfSatA#}
agreeably,adv.,{#suKaM/aBimataM/suBagaM/yaTABimataM/yaTAsuKaM/anurUpaM/anusAratas/yogatasa/sattvAnurUpaM#}
agreed,p. p.,{#saMviditaH/sammataH/upagataH/aByupetaH/aByupagataH/svIkftaH/anujYAtaH#}
agreement,s.,{#saMvid/pratijYAnaM/niyamaH/saMskAraH/aNgIkAraH/upagamaH/samayaH/aByupagamaH/saNketaH/saMvAdaH/vyavamTA/samayakAraH/samayaBedaH/sammatiH/ekacittatA/anuvAdaH/EkyaM/sadfSatA/anurUpatA/sAdfSyaM/tulyatvaM#}
agriculture,s.,{#kfziH/karzaRaM/halaBftiH/vESyakriyA/vESyavfttiH/kfzividyA#}
agriculturist,s.,{#karzakaH/kzetrAjIvaH/kfzakaH/kzetrikaH/kzetrI/kfzividyAjYaH/vESyaH#}
aground,adv.,{#uttIras/tawasTaH/sEkatasTaH/pulinasTaH#}
ague,s.,{#kampajvaraH/tftIyakaH/tftIyakajvaraH/cAturyakaH#}
ague-fit,s.,{#kampajvarAkramaH#}
aguish,a.,{#kampajvaraSIlaH/kampajvarasvaBAvaH#}
ah,,{#A/As/hanta/hA/aho/ahaha#}
ahead,adv.,{#agre/agratas/puras/puratas/aDomuKaM#}
ajar,adv.,{#ardDavivftaH/ardDodGawwitaH#}
aid,s.,{#sAhAyyaM/upakAraH/upakftaM/sAhityaM/SaraRaM/upagrahaH/sahAyaH/upakArakaH/uttarasADakaH#}
aid,v. a.,{#upakf/upacar/upagrah/aBirakz#}
aided,p. p.,{#upakftaH/kftopakAraH#}
aide-de-camp,s.,{#pariDisTaH#}
aider,s.,{#sahAyaH/sAhAyyakarttA/upakArakaH#}
aidless,a.,{#sAhAyyarahitaH/upakArahInaH/asahAyaH#}
ail,v. a.,{#pIq/pIqayati/IzadrogeRa/kzudrarogeRa/pIq/pIqyate#}
ail,s.,{#IzadrogaH/IzadvyADiH/kzudrarogaH/kzudravyADiH#}
ailing,a.,{#rogI/kzudrarogapIqitaH/vyADitaH#}
aim,v. a.,{#aBisanDA/uddiS/Ap/IpsituM)/kANkz/AkANkz/anukANkz/kzipati/kzeptuM#}
aim,s.,{#lakzaM/lakzyaM/vARalakzyaM/SaravyaM/sanDAnaM/aBiprAyaH/cikIrpitaM/ASayaH/kANkzA/vAYCA/anumAnaM#}
aimless,a.,{#asanDAnaH/sanDAnarahitaH/alakzyaH#}
air,s.,{#AkASaH/vAyuH/naBaH/vihAyaH/samIraRaH/samiraH/vAyuH/vAtaH/samIraRaH/tAlaH/mUrcCanA/niSArukaM/rUpaM/AkAraH/AkftiH/gatiH/vadanaM/rItiH/viDiH/vAsaH/vAzpaH/ganDaH;/vihAyasA#}
air,v. a.,{#vAyuvyApyaM/Suz/(Sozayati/SuzkIkf/nirjalaM#}
air-balloon,s.,{#AkASayAnaM/vyomayAnaM#}
air-bladder,s.,{#vAyukozaH/anila#}
air-born,a.,{#vAyujaH/AkASajaH#}
air-gun,s.,{##}
air-hole,s.,{#vAtAyanaM/gavAkzaH/jAlaM/vAyucCidraM/vAyupaTaH#}
airing,s.,{#vAyusevanaM/vihAraH#}
air-pump,s.,{##}
air-shaft,s.,{#CidraM#}
airy,a.,{#vAyumayaH/AkASIyaH/vEhAyasaH/vAyuvyApyaH/SUnyaH/laGuH/avAstavaH/asAraH/caYcalaH/vAyusamaH#}
aisle,s.,{##}
akin,a.,{#svagotrajaH/svajAtI~yaH/sambanDI/samparkIyaH#}
alabaster,s.,{#SvetaprastaraviSezaH#}
alack,,{#kazwaM/As/hA/hanta/ahaha/hAhA/hAho#}
alacrity,s.,{#lAGavaM/caYvalatvaM/sodyamatvaM/SIGratvaM/avilambatvaM/kzipratA#}
alamode,adv.,{#vyavahArAnurUpaM/rItyanusAreRa#}
alarm,s.,{#trAsaH/BayaM/sADvasaM/SaNkA/BayaprastAvaH/sAnnahanikaM/yudDAya/yoDAhvAnaM/BayaDvaniH#}
alarm,v. a.,{#BI/BAyayati/BIzayati/cat/(trAsayati/vitras/santras#}
alarmed,p. p.,{#BItaH/BayArttaH/cakitaH/SaNkitaH#}
alarm-bell,s.,{##}
alarming,a.,{#BayaNkaraH/BayAnakaH/trAsajanakaH/BayadaH#}
alarmist,s.,{#BayotpAdakaH/BayakArakaH#}
alarm-post,s.,{##}
alarum,s.,{#sAnnahanikaM/BayaDvaniH#}
alas,,{#kazwaM/A/As/hA/hanta/ahaha/ahovat#}
alb,s.,{#SvetavastraviSezaH#}
albatross,,{#samudrIyapakziviSezaH#}
albeit,adv.,{#taTApi/yadyapi#}
albion,s.,{#SvetadvIpaH#}
albugineous,a.,{#aRqaSuklAMSopamaH#}
albugo,s.,{#SuklaM/cakzUrogaH/SuklamaRqalarogaH#}
album,s.,{##}
alchymical,a.,{#rasAyanavidyAvizayakaH/gmAyanajaH#}
alchymist,s.,{#rasajYaH/rasAyanavidyAjYaH/rasasidDaH#}
alchymy,s.,{#rasAyanavidyA/rasAyanaM/rasaMsidDiH#}
alcohol,s.,{#madyasAraH/sUkzmaBasma/n#}
alcove,s.,{#kuYjaH/kuYjakuwIraH/parRaSAlA/pallavaSAlA/niBftasTAnaM#}
alder,s.,{#vfkzaviSezaH#}
alderman,s.,{#purADyakzaH/mAnyapadasTaH/pOrajanaH/vfdDaH/vfdDajanaH/gurujanaH#}
aldermanly,adv.,{#vfdDajanavat/gurujanavat/gurujanaprakAreRa#}
ale,s.,{#yavasuraM#}
ale-house,s.,{#yavasurAlayaH/yavasurasTAnaM#}
ale-house-keeper,s.,{#yavasuravikrayI/SORqikaH#}
alembic,s.,{#vakaH/vakayantraM/kAcavakayantraM/muzA#}
alert,a.,{#tvaritaH/kzipraH/udyamI/udyogI/svavahitaH/atandraH#}
alertness,s.,{#kzipratA/atandratA/satvaratA/sodyogatvaM#}
algebra,s.,{#vIjagaRitaM/gaRanAvidyA#}
algebraical,a.,{#vIjagaRitavizayakaH/gaRanAvidyAsambanDI#}
algid,a.,{#SItaH/SItalaH/SiSiraH/himavAn#}
alien,s.,{#videSI/videSIyaH/BinnajAtIyaH#}
alien,a.,{#anyadeSIyaH/videSIyaH/pArakyaH/viraktaH/virudDaH/viparItaH/BinnaH#}
alienable,a.,{#viCedanIyaH/viBedyaH#}
alienate,v. a.,{#viraYj#}
alienate,a.,{#viBinnaH/viraktaH/viCinnaH/parADInaH#}
alienated,p. p.,{#viraktaH#}
alienation,s.,{#virAgaH/viraktiH/vEraktyaM#}
alight,v. n.,{#avatF/upaviS/nipat#}
alighted,p. p.,{#avatIrRaH/upavizwaH/nipatitaH#}
alike,a.,{#sadfSaH/tulyaH/samAnaH/ekaprakAraH/tulyarUpaH/tulyAkftiH#}
aliment,s.,{#AhAraH/BojanaM/BakzyaM/BojyaM/annaM/KAdyaM/pOzwikaM#}
alimental,a.,{#pOzwikaH/pozakaH/puzwidaH/pratipAlakaH/BaraRaSIlaH#}
alimentariness,s.,{#pozakatvaM/pratipAlakatvaM/BarimA/BaraRaSIlatA#}
alimentation,s.,{#pozaRaM/BaraRaM/pratipAlanaM/puzwiH#}
alimony,s.,{##}
alive,a.,{#jIvan/varttamAnaH/sajIvaH/sacetanaH/AyuzmAn/tvaritaH/atandraH/caYcalaH#}
alkali,s.,{#sarjjikA/sarjjiH/kzAraH/sarjjikAkzAraH/yavakzAraH/goga/vAhI/n#}
alkaline,a.,{#kzArasvaBAvaH/kzAraviSizwaH/sarjjiyuktaH#}
all,a.,{#sarvvaH/viSvaH/kftsnaH/niKilaH/aKilaH/samastaH/sakalaH#}
all,s.,{#sarvvaM/kArtsnaM/kArtsnyaM/sAkalyaM;/sarvvaSas/sAkalyena/kftsnaSas;/sarvvadA;/prAyas/prAyaSas/IzadUnaH/akasmAt;/yaTA/Sakti/yaTAbalaM/yaTAsAmarTyaM;/sarvvatas/samantatas/paritas/caturdikzu;/sarvvaTA;/yugapat/BUyizWaM/viSezatas;/namas#}
all-atoning,a.,{#sarvvapApanASakaH/sarvvapApaSoDakaH#}
